strategy,symbol,asset,start_date,end_date,trading_days,years,total_return,cagr,volatility_ann,sharpe,max_drawdown,final_equity,bnh_total_return,bnh_cagr,bnh_volatility_ann,bnh_sharpe,bnh_max_drawdown,delta_total_return,delta_cagr,delta_volatility,delta_sharpe,delta_max_drawdown,beats_total_return,beats_cagr,beats_volatility,beats_sharpe,beats_max_drawdown,composite_score
bollinger_band_reversion,^GSPC,S&P 500,2006-05-22,2026-06-15,5048,20.0,91.18,3.28,13.55,0.306,-29.52,191184.4,488.54,9.24,19.52,0.551,-56.78,-397.35,-5.95,5.97,-0.245,27.25,False,False,True,False,True,4.6
bollinger_band_reversion,^IXIC,Nasdaq,2006-05-22,2026-06-15,5048,20.0,108.56,3.73,15.0,0.32,-37.78,208559.99,1090.86,13.14,22.15,0.669,-55.63,-982.3,-9.41,7.15,-0.35,17.85,False,False,True,False,True,4.4
bollinger_band_reversion,GLD,Gold ETF,2006-05-22,2026-06-15,5048,20.0,72.0,2.74,9.14,0.342,-20.34,172004.08,491.65,9.26,18.23,0.578,-45.56,-419.65,-6.52,9.1,-0.236,25.21,False,False,True,False,True,6.8
bollinger_band_reversion,SLV,Silver ETF,2006-05-22,2026-06-15,5048,20.0,-19.31,-1.06,15.81,0.012,-62.67,80690.63,389.5,8.24,33.17,0.408,-76.28,-408.81,-9.3,17.36,-0.396,13.61,False,False,True,False,True,4.2
bollinger_band_reversion,BTC-USD,Bitcoin,2014-09-17,2026-06-16,4291,17.0,-44.97,-4.96,32.67,0.061,-77.65,55031.84,14416.09,52.78,55.37,0.807,-83.4,-14461.06,-57.74,22.7,-0.746,5.75,False,False,True,False,True,4.2
buy_and_hold,^GSPC,S&P 500,2006-05-22,2026-06-15,5048,20.0,488.54,9.24,19.52,0.551,-56.78,588535.37,488.54,9.24,19.52,0.551,-56.78,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,7.4
buy_and_hold,^IXIC,Nasdaq,2006-05-22,2026-06-15,5048,20.0,1090.86,13.14,22.15,0.669,-55.63,1190864.1,1090.86,13.14,22.15,0.669,-55.63,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,7.2
buy_and_hold,GLD,Gold ETF,2006-05-22,2026-06-15,5048,20.0,491.65,9.26,18.23,0.578,-45.56,591653.7,491.65,9.26,18.23,0.578,-45.56,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,7.4
buy_and_hold,SLV,Silver ETF,2006-05-22,2026-06-15,5048,20.0,389.5,8.24,33.17,0.408,-76.28,489497.4,389.5,8.24,33.17,0.408,-76.28,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,6.4
buy_and_hold,BTC-USD,Bitcoin,2014-09-17,2026-06-16,4291,17.0,14416.09,52.78,55.37,0.807,-83.4,14516087.07,14416.09,52.78,55.37,0.807,-83.4,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,4.4
custom_triad_conviction,^GSPC,S&P 500,2006-05-22,2026-06-15,5048,20.0,160.18,4.88,10.39,0.511,-21.31,260176.22,488.54,9.24,19.52,0.551,-56.78,-328.36,-4.35,9.13,-0.04,35.46,False,False,True,False,True,8.4
custom_triad_conviction,^IXIC,Nasdaq,2006-05-22,2026-06-15,5048,20.0,412.39,8.48,13.05,0.691,-24.75,512393.79,1090.86,13.14,22.15,0.669,-55.63,-678.47,-4.66,9.1,0.021,30.88,False,False,True,True,True,10.4
custom_triad_conviction,GLD,Gold ETF,2006-05-22,2026-06-15,5048,20.0,202.05,5.66,13.73,0.471,-28.01,302051.69,491.65,9.26,18.23,0.578,-45.56,-289.6,-3.6,4.5,-0.107,17.54,False,False,True,False,True,9.0
custom_triad_conviction,SLV,Silver ETF,2006-05-22,2026-06-15,5048,20.0,396.04,8.31,23.3,0.462,-49.0,496040.61,389.5,8.24,33.17,0.408,-76.28,6.54,0.07,9.86,0.055,27.28,True,True,True,True,True,10.2
custom_triad_conviction,BTC-USD,Bitcoin,2014-09-17,2026-06-16,4291,17.0,30196.9,62.65,40.54,1.03,-51.34,30296896.69,14416.09,52.78,55.37,0.807,-83.4,15780.81,9.88,14.83,0.222,32.05,True,True,True,True,True,9.2
donchian_breakout,^GSPC,S&P 500,2006-05-22,2026-06-15,5048,20.0,222.22,6.0,10.7,0.6,-29.76,322215.32,488.54,9.24,19.52,0.551,-56.78,-266.32,-3.23,8.82,0.048,27.01,False,False,True,True,True,9.4
donchian_breakout,^IXIC,Nasdaq,2006-05-22,2026-06-15,5048,20.0,422.23,8.59,13.25,0.689,-25.82,522225.76,1090.86,13.14,22.15,0.669,-55.63,-668.64,-4.55,8.91,0.02,29.81,False,False,True,True,True,10.2
donchian_breakout,GLD,Gold ETF,2006-05-22,2026-06-15,5048,20.0,120.36,4.02,14.15,0.35,-29.35,220362.22,491.65,9.26,18.23,0.578,-45.56,-371.29,-5.25,4.08,-0.228,16.21,False,False,True,False,True,5.2
donchian_breakout,SLV,Silver ETF,2006-05-22,2026-06-15,5048,20.0,125.79,4.14,24.55,0.291,-64.87,225790.78,389.5,8.24,33.17,0.408,-76.28,-263.71,-4.09,8.61,-0.117,11.41,False,False,True,False,True,4.6
donchian_breakout,BTC-USD,Bitcoin,2014-09-17,2026-06-16,4291,17.0,18081.18,55.73,40.09,0.962,-61.73,18181177.16,14416.09,52.78,55.37,0.807,-83.4,3665.09,2.96,15.28,0.155,21.67,True,True,True,True,True,8.2
ema_crossover,^GSPC,S&P 500,2006-05-22,2026-06-15,5048,20.0,239.78,6.29,13.65,0.516,-30.0,339780.18,488.54,9.24,19.52,0.551,-56.78,-248.76,-2.95,5.87,-0.035,26.78,False,False,True,False,True,8.4
ema_crossover,^IXIC,Nasdaq,2006-05-22,2026-06-15,5048,20.0,519.15,9.51,16.2,0.643,-30.12,619146.81,1090.86,13.14,22.15,0.669,-55.63,-571.72,-3.63,5.95,-0.026,25.51,False,False,True,False,True,8.8
